solID,dep_var_type,channels,date_min,date_max,periods,constr_low,constr_up,histSpend,histSpendTotal,initSpendUnitTotal,initSpendUnit,initSpendShare,initResponseUnit,initResponseUnitTotal,initCPAUnit,expSpendTotal,expSpendUnitTotal,expSpendUnitDelta,optmSpendUnit,optmSpendUnitDelta,optmSpendUnitTotal,optmSpendUnitTotalDelta,optmSpendShareUnit,optmResponseUnit,optmResponseUnitTotal,optmCPAUnit,optmResponseUnitLift,optmResponseUnitTotalLift
5_1255_3,conversion,FB_28_similar_S,2020-05-06,2022-03-31,695 days,0.7,1.2,3973402,131234478,584195.744745503,21023.291005291,0.0359867239609038,1.10642622628581,14.5896177510361,5.26285930212994e-05,131234478,584195.744745503,0,25227.9492063492,0.2,584195.744745505,2.88657986402541e-15,0.0431840687530844,1.82005346320302,16.9675140253559,7.21443288281618e-05,0.644984021494873,0.162985508935004
5_1255_3,conversion,FB_30_broad_S,2020-05-06,2022-03-31,695 days,0.7,1.2,3712528,131234478,584195.744745503,8735.36,0.014952796350486,0.437400686037527,14.5896177510361,5.00724281583732e-05,131234478,584195.744745503,0,10482.432,0.2,584195.744745505,2.88657986402541e-15,0.0179433556205831,0.556620142304464,16.9675140253559,5.31002864892864e-05,0.272563487147133,0.162985508935004
5_1255_3,conversion,FB_30_retarg_S,2020-05-06,2022-03-31,695 days,0.7,1.2,1076176,131234478,584195.744745503,2809.8590078329,0.00480979026825499,0.050678853072798,14.5896177510361,1.8036083992657e-05,131234478,584195.744745503,0,1966.90130548303,-0.3,584195.744745505,2.88657986402541e-15,0.00336685318777848,0.0387070421830595,16.9675140253559,1.96791989893737e-05,-0.236228923186984,0.162985508935004
5_1255_3,conversion,FB_30_similar_S,2020-05-06,2022-03-31,695 days,0.7,1.2,9915433,131234478,584195.744745503,25359.1636828645,0.0434086757922412,1.67720263992202,14.5896177510361,6.6137931869391e-05,131234478,584195.744745503,0,30430.9964194373,0.2,584195.744745505,2.88657986402541e-15,0.0520904109506893,2.2922269156529,16.9675140253559,7.53253979612962e-05,0.366696462962559,0.162985508935004
5_1255_3,conversion,FB_40_broad_S,2020-05-06,2022-03-31,695 days,0.7,1.2,1258938,131234478,584195.744745503,5245.575,0.00897913935043324,0.0258354498743862,14.5896177510361,4.92518930229501e-06,131234478,584195.744745503,0,3671.9025,-0.3,584195.744745505,2.88657986402541e-15,0.00628539754530325,0.0194270389706233,16.9675140253559,5.29072843590571e-06,-0.248047196194417,0.162985508935004
5_1255_3,conversion,FB_50_S,2020-05-06,2022-03-31,695 days,0.7,1.2,92379,131234478,584195.744745503,3421.44444444444,0.00585667471086245,1.27976412291684,14.5896177510361,0.000374042058463012,131234478,584195.744745503,0,4105.73333333333,0.2,584195.744745505,2.88657986402541e-15,0.00702800965303492,1.90149170478922,16.9675140253559,0.000463130834472743,0.485814198678541,0.162985508935004
5_1255_3,conversion,FB_female_other_S,2020-05-06,2022-03-31,695 days,0.7,1.2,49052834,131234478,584195.744745503,75004.3333333333,0.128389044268044,2.07454699363887,14.5896177510361,2.76590285046491e-05,131234478,584195.744745503,0,52503.0333333333,-0.3,584195.744745505,2.88657986402541e-15,0.0898723309876305,1.77493733485398,16.9675140253559,3.38063769303612e-05,-0.14442172662445,0.162985508935004
5_1255_3,conversion,FB_male_other_S,2020-05-06,2022-03-31,695 days,0.7,1.2,27575823,131234478,584195.744745503,40792.6375739645,0.069827002234902,2.07902116134555,14.5896177510361,5.09655978379898e-05,131234478,584195.744745503,0,48951.1650887574,0.2,584195.744745505,2.88657986402541e-15,0.0837924026818822,2.44083436333787,16.9675140253559,4.98626408362741e-05,0.174030552800219,0.162985508935004
5_1255_3,conversion,FB_u25_S,2020-05-06,2022-03-31,695 days,0.7,1.2,366344,131234478,584195.744745503,8935.21951219512,0.015294906874215,0.338244495250061,14.5896177510361,3.78551970422676e-05,131234478,584195.744745503,0,6254.65789400778,-0.299999525980175,584195.744745505,2.88657986402541e-15,0.0107064420620395,0.279320432916665,16.9675140253559,4.4657987319221e-05,-0.174205532272843,0.162985508935004
5_1255_3,conversion,FB_undefined_S,2020-05-06,2022-03-31,695 days,0.7,1.2,30309208,131234478,584195.744745503,45170.2056631893,0.0773203263965352,2.17482669389336,14.5896177510361,4.8147371967042e-05,131234478,584195.744745503,0,54201.324098609,0.199935295906335,584195.744745505,2.88657986402541e-15,0.0927793887342006,2.44921558322594,16.9675140253559,4.51873754738916e-05,0.126165864205652,0.162985508935004
